var_name,data_min,data_lim_bot,data_lim2p5_bot,outliers_Tukey_bot,data_max,data_lim_top,data_lim2p5_top,outliers_Tukey_top,outlier_thr_gradient,modified_z_score_bot,modified_z_score_top
x1,-2985.1412096490467,-1845.3916170768673,-1536.5402081214554,-844.3513831890365,2382.017656496659,1860.8252903880737,1551.9738814326618,899.2282266864313,3.0,-1096.0416800715102,1102.0884839410364
x2,-28673.577282663857,-19043.44507475906,-15820.929589101775,-3240.2420181273365,37451.268471503085,19626.74075312833,16404.22526747105,3196.6798066044835,3.0,-4232.507524813572,4232.905563303487
